,job_url,linkedin_job_url_cleaned,company_name,company_url,linkedin_company_url_cleaned,job_title,job_location,posted_date,normalized_company_name
0,https://fr.linkedin.com/jobs/view/data-engineer-at-vectorive-3247098596?refId=emxs7MzCAPJgiSInWliGBw%3D%3D&trackingId=vMkLKzFnfYbrkWtPDj5Ubw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,https://fr.linkedin.com/jobs/view/data-engineer-at-vectorive-3247098596,vectorive,https://fr.linkedin.com/company/vectorive?trk=public_jobs_jserp-result_job-search-card-subtitle,https://fr.linkedin.com/company/vectorive,Data Engineer,"Île-de-France, France",2022-09-01,Vectorive
1,https://fr.linkedin.com/jobs/view/data-engineer-at-morgan-stanley-3209318912?refId=emxs7MzCAPJgiSInWliGBw%3D%3D&trackingId=tw4O8uFz%2BDN6V6Gwe2x7mQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,https://fr.linkedin.com/jobs/view/data-engineer-at-morgan-stanley-3209318912,Morgan Stanley,https://www.linkedin.com/company/morgan-stanley?trk=public_jobs_jserp-result_job-search-card-subtitle,https://www.linkedin.com/company/morgan-stanley,Data Engineer,"Paris, Île-de-France, France",2022-07-14,Morgan stanley
2,https://fr.linkedin.com/jobs/view/data-engineer-at-cloud-temple-3241642293?refId=emxs7MzCAPJgiSInWliGBw%3D%3D&trackingId=ztGveYF4sMyLBXoVKjWDJg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,https://fr.linkedin.com/jobs/view/data-engineer-at-cloud-temple-3241642293,Cloud Temple,https://fr.linkedin.com/company/cloud-temple?trk=public_jobs_jserp-result_job-search-card-subtitle,https://fr.linkedin.com/company/cloud-temple,Data Engineer,"Paris, Île-de-France, France",2022-08-31,Cloud temple
3,https://fr.linkedin.com/jobs/view/data-engineer-i-at-american-express-global-business-travel-3233874721?refId=emxs7MzCAPJgiSInWliGBw%3D%3D&trackingId=Lgh8gIq5iXg2Vg%2Fy0gi5qA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,https://fr.linkedin.com/jobs/view/data-engineer-i-at-american-express-global-business-travel-3233874721,American Express Global Business Travel,https://www.linkedin.com/company/american-express-global-business-travel?trk=public_jobs_jserp-result_job-search-card-subtitle,https://www.linkedin.com/company/american-express-global-business-travel,Data Engineer I,"Courbevoie, Île-de-France, France",2022-08-26,American express global business travel
4,https://fr.linkedin.com/jobs/view/data-engineer-h-f-at-soci%C3%A9t%C3%A9-g%C3%A9n%C3%A9rale-3245540965?refId=emxs7MzCAPJgiSInWliGBw%3D%3D&trackingId=I12KEsSrwk4kTU4umCDlBg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,https://fr.linkedin.com/jobs/view/data-engineer-h-f-at-soci%C3%A9t%C3%A9-g%C3%A9n%C3%A9rale-3245540965,Societe Generale,https://fr.linkedin.com/company/societe-generale?trk=public_jobs_jserp-result_job-search-card-subtitle,https://fr.linkedin.com/company/societe-generale,Data Engineer-(H/F),"Paris, Île-de-France, France",2022-08-31,Societe generale
5,https://fr.linkedin.com/jobs/view/saas-data-engineer-at-os-up-3242230187?refId=emxs7MzCAPJgiSInWliGBw%3D%3D&trackingId=BfKUKI3jWBU4Zh3hi0qFRw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,https://fr.linkedin.com/jobs/view/saas-data-engineer-at-os-up-3242230187,OS-UP,https://fr.linkedin.com/company/data-saas-application-development?trk=public_jobs_jserp-result_job-search-card-subtitle,https://fr.linkedin.com/company/data-saas-application-development,Saas & Data Engineer,Greater Paris Metropolitan Region,2022-09-01,Data saas application development
6,https://fr.linkedin.com/jobs/view/operations-data-engineer-at-greenly-3219385858?refId=emxs7MzCAPJgiSInWliGBw%3D%3D&trackingId=9CWwh43OF5NAISntjrcitQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,https://fr.linkedin.com/jobs/view/operations-data-engineer-at-greenly-3219385858,Greenly,https://fr.linkedin.com/company/greenly-earth?trk=public_jobs_jserp-result_job-search-card-subtitle,https://fr.linkedin.com/company/greenly-earth,Operations Data Engineer,"Paris, Île-de-France, France",2022-08-17,Greenly earth
7,https://fr.linkedin.com/jobs/view/data-engineer-h-f-at-bnp-paribas-3179359587?refId=emxs7MzCAPJgiSInWliGBw%3D%3D&trackingId=5cr5GZrRZ6uq9p9KQ39XHA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,https://fr.linkedin.com/jobs/view/data-engineer-h-f-at-bnp-paribas-3179359587,BNP Paribas,https://fr.linkedin.com/company/bnp-paribas?trk=public_jobs_jserp-result_job-search-card-subtitle,https://fr.linkedin.com/company/bnp-paribas,Data Engineer H/F,"Paris, Île-de-France, France",2022-08-19,Bnp paribas
8,https://fr.linkedin.com/jobs/view/data-engineer-at-blue-origin-3249024849?refId=emxs7MzCAPJgiSInWliGBw%3D%3D&trackingId=XQOU%2FFTsr%2BsERXQLljCmJA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,https://fr.linkedin.com/jobs/view/data-engineer-at-blue-origin-3249024849,BLUE ORIGIN,https://www.linkedin.com/company/blue-origin?trk=public_jobs_jserp-result_job-search-card-subtitle,https://www.linkedin.com/company/blue-origin,Data Engineer,"Paris, Île-de-France, France",2022-09-01,Blue origin
9,https://fr.linkedin.com/jobs/view/data-engineer-f-h-at-axa-en-france-3233792216?refId=emxs7MzCAPJgiSInWliGBw%3D%3D&trackingId=%2BtwvcPNbJdzfnswBat%2BOpw%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,https://fr.linkedin.com/jobs/view/data-engineer-f-h-at-axa-en-france-3233792216,AXA en France,https://fr.linkedin.com/company/axa-france?trk=public_jobs_jserp-result_job-search-card-subtitle,https://fr.linkedin.com/company/axa-france,Data Engineer (F/H),"Nanterre, Île-de-France, France",2022-08-25,Axa france
